"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
57	-24.165939	19.166644	183.769583	-0.244596	-0.308762	0.919151	0.038149	-0.950275	-0.309066	0.968874	-0.040532	0.244212
58	-24.579249	17.208233	188.324891	0.060383	-0.450530	0.890717	0.260952	-0.854187	-0.449743	0.963461	0.259591	0.065988
59	-23.736825	14.862509	192.648508	0.266640	-0.468495	0.842268	0.489541	-0.686948	-0.537077	0.830213	0.555531	0.046179
60	-22.004031	12.701703	196.803460	0.419252	-0.380614	0.824234	0.660126	-0.495469	-0.564574	0.623267	0.780797	0.043527
61	-19.577273	11.224187	200.904624	0.546517	-0.195922	0.814208	0.763103	-0.283972	-0.580546	0.344954	0.938602	-0.005686
62	-16.643079	10.831883	204.917328	0.610870	0.044409	0.790484	0.791660	-0.020908	-0.610604	-0.010589	0.998795	-0.047929
63	-13.654762	11.619680	208.833840	0.568544	0.269755	0.777168	0.718412	0.297463	-0.628809	-0.400803	0.915832	-0.024674
64	-11.135546	13.435276	212.738333	0.414229	0.440061	0.796719	0.493330	0.627061	-0.602843	-0.764879	0.642761	0.042652
65	-9.744415	15.826878	216.879808	0.123534	0.488286	0.863896	0.180466	0.844993	-0.503408	-0.975793	0.218092	0.016267
66	-10.034910	18.053705	221.311659	-0.246576	0.378443	0.892178	-0.021656	0.918221	-0.395475	-0.968882	-0.116835	-0.218216
67	-12.209234	19.426280	225.550170	-0.616218	0.155188	0.772135	-0.047396	0.971310	-0.233044	-0.786148	-0.180202	-0.591184
68	-16.022281	19.543424	228.704261	-0.883024	-0.098973	0.458774	-0.073910	0.994639	0.072319	-0.463472	0.029951	-0.885605
69	-20.748078	18.700226	229.938936	-0.979662	-0.198487	0.029423	-0.171454	0.904219	0.391141	-0.104241	0.378142	-0.919860
70	-25.559628	17.956658	229.007877	-0.915257	-0.066969	-0.397266	-0.295781	0.781206	0.549755	0.273530	0.620671	-0.734812
71	-29.565801	18.179355	226.108506	-0.654255	0.151531	-0.740938	-0.365542	0.794315	0.485225	0.662064	0.588305	-0.464293
72	-31.840404	19.274770	221.846726	-0.240945	0.252460	-0.937128	-0.256705	0.914610	0.312396	0.935974	0.315836	-0.155563
73	-31.908814	20.352081	217.012220	0.214843	0.150627	-0.964963	-0.109179	0.985546	0.129532	0.970527	0.077524	0.228183
74	-29.766502	20.609688	212.559351	0.624478	-0.052481	-0.779277	-0.003696	0.997530	-0.070142	0.781034	0.046682	0.622741
75	-25.933491	19.900427	209.501013	0.877480	-0.215490	-0.428479	0.077120	0.945151	-0.317399	0.473373	0.245467	0.845969
76	-21.285535	18.650231	208.247280	0.959622	-0.266269	-0.090697	0.156365	0.772970	-0.614872	0.233827	0.575863	0.783395
77	-16.462535	17.364497	208.337572	0.966153	-0.238326	0.098740	0.196341	0.431071	-0.880698	0.167329	0.870275	0.463273
78	-11.600151	16.392679	208.960655	0.982997	-0.137032	0.122226	0.113371	-0.070688	-0.991035	0.144444	0.988041	-0.053951
79	-6.630700	16.051298	209.280145	0.999676	-0.004529	-0.025065	-0.022624	-0.610012	-0.792069	-0.011703	0.792379	-0.609917
80	-1.724804	16.178984	208.439839	0.942653	0.035683	-0.331861	-0.099353	-0.919201	-0.381048	-0.318644	0.392168	-0.862943
81	2.530237	16.181269	205.887088	0.728754	-0.057165	-0.682385	-0.163953	-0.982091	-0.092822	-0.664858	0.179524	-0.725075
82	5.304136	15.530378	201.832070	0.363421	-0.193907	-0.911222	-0.477769	-0.878478	-0.003609	-0.799789	0.436665	-0.411900
83	6.263046	14.569316	197.043379	0.054410	-0.150406	-0.987126	-0.923861	-0.382656	0.007381	-0.378840	0.911566	-0.159775
84	6.377467	14.351832	192.060751	0.047358	0.071323	-0.996328	-0.917488	0.397474	-0.015158	0.394934	0.914837	0.084261
85	7.186469	15.058030	187.194901	0.300016	0.171474	-0.938396	-0.528569	0.848777	-0.013891	0.794107	0.500175	0.345282
